number,value,datetime_start,datetime_complete,duration,params_freeze_layers,params_lr,params_weight_decay,state
0,,2025-06-18 09:41:20.773426,,,7,0.0001329291894316216,9.512071633458171e-05,RUNNING
1,0.9020370370370371,2025-06-18 10:06:14.118664,2025-06-18 10:08:33.204892,0 days 00:02:19.086228,7,0.0001329291894316216,9.512071633458171e-05,COMPLETE
2,0.9157407407407407,2025-06-18 10:08:33.234811,2025-06-18 10:10:48.205572,0 days 00:02:14.970761,3,0.0006251373574521745,1.6445845403801217e-05,COMPLETE
3,0.749537037037037,2025-06-18 10:10:48.231502,2025-06-18 10:13:09.749014,0 days 00:02:21.517512,6,1.493656855461762e-05,8.67514384317186e-05,COMPLETE
4,0.029074074074074075,2025-06-18 10:13:09.774943,2025-06-18 10:15:35.187938,0 days 00:02:25.412995,8,0.001331121608073689,3.0378649352844427e-06,COMPLETE
5,0.027777777777777776,2025-06-18 10:15:35.214866,2025-06-18 10:17:58.375163,0 days 00:02:23.160297,4,0.00314288089084011,2.202157195714934e-05,COMPLETE
6,0.9046296296296297,2025-06-18 10:17:58.401092,2025-06-18 10:20:20.568737,0 days 00:02:22.167645,6,3.5498788321965036e-05,3.1119982052994234e-05,COMPLETE
7,0.9322222222222222,2025-06-18 10:20:20.595665,2025-06-18 10:22:48.879162,0 days 00:02:28.283497,6,0.00019762189340280086,2.9831684879606152e-05,COMPLETE
8,0.9167592592592593,2025-06-18 10:22:48.909070,2025-06-18 10:25:10.890576,0 days 00:02:21.981506,5,2.621087878265438e-05,2.99223202049866e-05,COMPLETE
9,0.9392592592592592,2025-06-18 10:25:10.916506,2025-06-18 10:27:32.146829,0 days 00:02:21.230323,4,0.00023345864076016249,7.873242017790835e-05,COMPLETE
