number,value,datetime_start,datetime_complete,duration,params_alpha,params_freeze_layers,params_lr,params_temp_cat,params_temp_class,params_weight_decay,state
0,0.9321296296296296,2025-06-18 09:41:53.996915,2025-06-18 09:44:09.905162,0 days 00:02:15.908247,0.43119890406724054,7,0.0001329291894316216,0.8624074561769747,1.0394633936788147,9.512071633458171e-05,COMPLETE
1,0.8919444444444444,2025-06-18 09:44:09.934055,2025-06-18 09:46:25.008883,0 days 00:02:15.074828,0.5939819704323989,6,1.493656855461762e-05,0.808233797718321,1.0832290311184183,8.67514384317186e-05,COMPLETE
2,0.9328703703703703,2025-06-18 09:46:25.031818,2025-06-18 09:48:40.084248,0 days 00:02:15.052430,0.5049512863264476,4,0.00314288089084011,0.9216968971838151,0.8733618039413735,2.202157195714934e-05,COMPLETE
3,0.9519444444444445,2025-06-18 09:48:40.108182,2025-06-18 09:50:55.640231,0 days 00:02:15.532049,0.47327236865873834,6,0.00019762189340280086,0.9168578594140873,0.8557975442608168,2.9831684879606152e-05,COMPLETE
4,0.950462962962963,2025-06-18 09:50:55.665163,2025-06-18 09:53:11.487571,0 days 00:02:15.822408,0.40929008254399957,4,0.00023345864076016249,1.036965827544817,1.0056937753654447,7.873242017790835e-05,COMPLETE
5,0.9487962962962962,2025-06-18 09:53:11.511503,2025-06-18 09:55:26.405642,0 days 00:02:14.894139,0.5616794696232922,3,0.0006647135865318024,1.1862528132298236,1.1795542149013332,1.7881888245041864e-05,COMPLETE
6,0.8588888888888889,2025-06-18 09:55:26.429577,2025-06-18 09:57:17.230561,0 days 00:01:50.800984,0.49903538202225406,7,8.200518402245828e-05,0.8488152939379116,0.9760609974958405,1.0669539286632004e-05,PRUNED
7,0.7641666666666667,2025-06-18 09:57:17.248512,2025-06-18 09:59:12.053089,0 days 00:01:54.804577,0.5040136042355622,4,1.2681352169084594e-05,0.9246844304357644,1.0650089137415928,9.102271980579943e-05,PRUNED
8,0.5896296296296296,2025-06-18 09:59:12.070044,2025-06-18 10:01:05.791862,0 days 00:01:53.721818,0.5789654700855298,8,0.00043664735929796326,1.1757995766256757,1.1100531293444458,1.930059109702718e-05,PRUNED
9,0.9478703703703704,2025-06-18 10:01:05.808821,2025-06-18 10:03:24.664820,0 days 00:02:18.855999,0.4650660661526529,3,0.0006218704727769079,0.8180909155642153,0.8783931449676581,9.226554926728857e-05,COMPLETE
